Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Curacao,CUW,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,14000,10000,10000,10000,,,14000,14000,10500,10620,10750,10800,10800,10100,10100,11000,10750,10750,10750,10750,10750,12750,12750,12750,12750,12750,12750,15750,16000,16000,16000,13000,15678.57143,15946.42857,16214.28571
Czech Republic,CZE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107000,90000,92000,75600,67300,64700,59600,63300,59200,55000,62600,27000,28000,26000,27000,27000,26541,28521,26750,26750,24100,24800,25050,23200,23000,22245,25000,27000,25120,25318.03571,25516.07143
Germany,DEU,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,478000,,,,503000,545000,457000,442000,398000,362000,365000,383500,347100,333500,331000,221100,308400,296000,284500,284000,285000,246000,244000,244000,251465,251465,196000,186450,181550,178600,177300,179100,180000,181400,184000,183000,184614.2857,185646.4286,186678.5714
Djibouti,DJI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,4000,4000,3000,8000,8000,8000,12600,12600,12600,12600,12600,12600,12600,12300,12300,11000,13000,,12000,13000,12950,12950,12950,12950,12950,12950,12950,13100,13000,13450,13000,13000,13150,13171.42857,13192.85714
Dominica,DMA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,29600,,,,31000,31000,30000,28000,27000,28000,33100,32900,32900,32100,27000,21800,21400,22700,22800,21000,21000,30000,30000,30000,18707,18628,16450,17200,17200,17200,16600,16100,15000,14500,15000,15000,14000,13592.85714,13185.71429
Dominican Republic,DOM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,22200,,,,21000,21000,21000,22000,22000,22000,39500,39500,39500,39500,39500,39500,39500,39500,39500,39000,40000,65000,65000,40000,39500,39500,39500,61000,61000,71050,71050,71050,71000,71050,71000,71000,70992.85714,70983.92857,70975
Algeria,DZA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,170000,,,,126000,126000,126000,126000,126000,126000,162900,164900,270200,268200,303200,305200,305200,317900,308700,318000,319000,334000,334000,334000,334200,317200,317200,317200,317200,317200,317200,317200,317000,317000,317000,326000,322057.1429,322978.5714,323900
East Asia & Pacific (excluding high income),EAP,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,6816800,,,,7380000,6993000,6727000,6506000,6259000,5982000,8020900,7986800,7487950,7702150,7682850,7793600,7583200,7634400,7681800,7152250,7656000,7535000,6815000,6817000,6978442,7005442,7154930,7180730,7181030,7181030,7031030,6974730,6967000,6966640,6809000,6761000,6711170,6650018.571,6588867.143
Early-demographic dividend,EAR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,6304100,,,,6848000,6743000,6803000,6736000,6706000,6660000,9601650,9985150,10238850,10229710,10306430,10471200,9947600,10097700,10090000,10119520,10785270,10286800,10542400,10535400,10675580,10577580,10456015,10555650,10535853,10626120,10589970,10821100,10835000,10937790,10987000,11028000,11134481.43,11210066.79,11285652.14
East Asia & Pacific,EAS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,8243700,,,,8822000,8402000,8236000,7997000,7832000,7526000,9457800,9448270,9069700,9293400,9272080,9364600,9144600,9200800,9182800,8650250,9178000,9022000,8296000,8298000,8428299,8455299,8603966,8628630,8629430,8527430,8380930,8322570,8192000,8144490,7993000,7909000,7808598.571,7708268.929,7607939.286
Europe & Central Asia (excluding high income),ECA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3662000,3111000,3163000,3980900,3864700,4070830,3960500,3715510,3571800,3443700,3339800,3266800,3168500,3186500,3008500,3036500,3036500,3050352,2985167,2845374,2838880,2635280,2759280,2914450,2904500,2912000,2916250,2930000,2933000,2976212.857,2996356.071,3016499.286
Europe & Central Asia,ECS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6967000,6408000,6422000,7695500,7475750,7516170,7323890,6962430,6585200,6287200,6147500,5983200,5707612,5885362,5446492,5419492,5416592,5282679,5242719,5014014,5032780,4797650,4906450,5042650,5034020,4990000,4990505,4993000,5005000,5016351.429,5021809.821,5027268.214
Ecuador,ECU,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,42500,,,,46000,53000,53000,57000,57000,57000,57400,57400,57370,57370,57370,57800,59800,59800,59800,46270,47270,57400,58400,58400,58983,58983,58983,58500,58983,40750,40750,40750,41000,41250,42000,42000,42178.57143,42419.64286,42660.71429
